Trials,StockPrice,p1Cash,p1Stock,p1Decision
1,100,10000,10,buy
2,103,9900,11,buy
3,103,9797,12,buy
4,103,9694,13,buy
5,107,9591,14,buy
6,107,9484,15,buy
7,107,9377,16,buy
8,107,9270,17,buy
9,111,9163,18,buy
10,115,9052,19,buy
11,119,8937,20,buy
12,123,8818,21,sell
13,120,8941,20,sell
14,117,9061,19,sell
15,114,9178,18,sell
16,111,9292,17,sell
17,108,9403,16,sell
18,105,9511,15,buy
19,109,9406,16,buy
20,113,9297,17,sell
21,110,9410,16,buy
22,117,9300,17,buy
23,117,9183,18,sell
24,112,9300,17,sell
25,112,9412,16,buy
26,119,9300,17,sell
27,114,9419,16,sell
28,111,9533,15,sell
29,108,9644,14,sell
30,105,9752,13,sell
31,102,9857,12,sell
32,99,9959,11,buy
33,105,9860,12,sell
34,102,9965,11,buy
35,109,9863,12,sell
36,106,9972,11,no trade
37,106,9972,11,buy
38,113,9866,12,sell
39,108,9979,11,buy
40,115,9871,12,sell
41,112,9986,11,buy
42,119,9874,12,sell
43,116,9993,11,buy
44,123,9877,12,sell
45,117,10000,11,buy
46,125,9883,12,sell
47,119,10008,11,buy
48,131,9889,12,sell
49,125,10020,11,buy
50,133,9895,12,sell
51,130,10028,11,buy
52,138,9898,12,sell
53,134,10036,11,buy
54,143,9902,12,sell
55,139,10045,11,buy
56,148,9906,12,sell
57,144,10054,11,buy
58,159,9910,12,sell
59,155,10069,11,sell
60,151,10224,10,sell
61,151,10375,9,sell
62,151,10526,8,sell
63,142,10677,7,sell
64,142,10819,6,sell
65,134,10961,5,buy
66,141,10827,6,sell
67,133,10968,5,buy
68,140,10835,6,sell
69,132,10975,5,sell
70,125,11107,4,buy
71,129,10982,5,sell
72,122,11111,4,buy
73,129,10989,5,sell
74,117,11118,4,buy
75,121,11001,5,sell
76,109,11122,4,buy
77,115,11013,5,sell
78,104,11128,4,buy
79,108,11024,5,sell
80,102,11132,4,buy
81,106,11030,5,sell
82,100,11136,4,buy
83,103,11036,5,sell
84,97,11139,4,buy
85,102,11042,5,sell
86,92,11144,4,buy
87,95,11052,5,no trade
88,95,11052,5,no trade
89,95,11052,5,no trade
90,98,11052,5,sell
91,93,11150,4,buy
92,93,11057,5,no trade
93,93,11057,5,no trade
94,93,11057,5,no trade
95,93,11057,5,no trade
96,96,11057,5,sell
97,87,11153,4,buy
98,90,11066,5,sell
99,85,11156,4,buy
100,90,11071,5,sell
101,81,11161,4,
